ISBN,TITULO,AUTOR,EDITORIAL,ENCUADERNACION,CATEGORIA,SINOPSIS,IDIOMA,PAGINAS,DIMENSIONES,FECHA PUBLICACION,URL,URL PORTADA,SITE
9780194034067,Teen2Teen: Level 3 Plus Student Pack,Joan Saslow,Oxford University Press,Rústica,,"With its teen appeal and carefully paced syllabus, Teen2Teen makes learning English irresistible and teaching effortless.",Inglés,,8.66 x 0.31 x 10.87 pulgadas,2 Octubre 2014,https://www.amazon.com/-/es/Teen2Teen-Level-Plus-Student-Pack/dp/0194034062,https://m.media-amazon.com/images/I/61FG-p893PL._SL1000_.jpg,amazon_books
9780194060950,Smart Choice: Level 1: Multi-Pack: Student Book/Workbook Split Edition A,Ken Wilson,Oxford University Press,Paquete,,"Teachers around the world tell us they love the Smart Choice ""one page = one lesson"" approach that allows for flexible and focused classes. Smart Choice Fourth Edition gives students more ways than ever to get involved, get motivated, and get speaking with new videos at the right level and dedicated speaking lessons to give students opportunities to speak in English.",Inglés,,8.27 x 0.2 x 11.69 pulgadas,5 Septiembre 2020,https://www.amazon.com/-/es/Smart-Choice-Multi-Pack-Student-Workbook/dp/0194060950,https://m.media-amazon.com/images/I/41I-kHZbEaL._SL1000_.jpg,amazon_books
9780194060974,Smart Choice: Level 1 Multi-Pack: Student Book/Workbook Split Edition B,Ken Wilson,Oxford University Press,Paquete,,"Teachers around the world tell us they love the Smart Choice ""one page = one lesson"" approach that allows for flexible and focused classes. Smart Choice Fourth Edition gives students more ways than ever to get involved, get motivated, and get speaking with new videos at the right level and dedicated speaking lessons to give students opportunities to speak in English.",Inglés,,8.27 x 0.2 x 11.73 pulgadas,5 Septiembre 2020,https://www.amazon.com/-/es/Smart-Choice-Multi-Pack-Student-Workbook/dp/0194060977,https://m.media-amazon.com/images/I/71tI5S0i0UL._SL1500_.jpg,amazon_books
9780194061100,Smart Choice: Level 2 Multi-Pack: Student Book/Workbook Split Edition A,Ken Wilson,Oxford University Press,Paquete,,"Teachers around the world tell us they love the Smart Choice ""one page = one lesson"" approach that allows for flexible and focused classes. Smart Choice Fourth Edition gives students more ways than ever to get involved, get motivated, and get speaking with new videos at the right level and dedicated speaking lessons to give students opportunities to speak in English.",Inglés,,8.27 x 0.2 x 11.69 pulgadas,19 Septiembre 2020,https://www.amazon.com/-/es/Smart-Choice-Multi-Pack-Student-Workbook/dp/0194061108,https://m.media-amazon.com/images/I/71s9Qj7-vaS._SL1500_.jpg,amazon_books
9780194061124,Smart Choice: Level 2 Multi-Pack: Student Book/Workbook Split Edition B,Ken Wilson,Oxford University Press,Paquete,,"Teachers around the world tell us they love the Smart Choice ""one page = one lesson"" approach that allows for flexible and focused classes. Smart Choice Fourth Edition gives students more ways than ever to get involved, get motivated, and get speaking with new videos at the right level and dedicated speaking lessons to give students opportunities to speak in English.",Inglés,,8.27 x 0.2 x 11.69 pulgadas,19 Septiembre 2020,https://www.amazon.com/-/es/Smart-Choice-Multi-Pack-Student-Workbook/dp/0194061124,https://m.media-amazon.com/images/I/41I-kHZbEaL._SL1000_.jpg,amazon_books
9780194061254,Smart Choice: Level 3 Multi-Pack: Student Book/Workbook Split Edition A,Ken Wilson,Oxford University Press,Paquete,,"Teachers around the world tell us they love the Smart Choice ""one page = one lesson"" approach that allows for flexible and focused classes. Smart Choice Fourth Edition gives students more ways than ever to get involved, get motivated, and get speaking with new videos at the right level and dedicated speaking lessons to give students opportunities to speak in English.",Inglés,,8.27 x 0.31 x 11.73 pulgadas,19 Septiembre 2020,https://www.amazon.com/-/es/Smart-Choice-Multi-Pack-Student-Workbook/dp/0194061256,https://m.media-amazon.com/images/I/61U014qLpFL._SL1000_.jpg,amazon_books
9780194061278,Smart Choice: Level 3: Multi-Pack: Student Book/Workbook Split Edition B (Smart Choice),Ken Wilson,Oxford University Press,Paquete,,"Teachers around the world tell us they love the Smart Choice ""one page = one lesson"" approach that allows for flexible and focused classes. Smart Choice Fourth Edition gives students more ways than ever to get involved, get motivated, and get speaking with new videos at the right level and dedicated speaking lessons to give students opportunities to speak in English.",Inglés,,8.27 x 0.2 x 11.81 pulgadas,19 Septiembre 2020,https://www.amazon.com/-/es/Smart-Choice-Multi-Pack-Student-Workbook/dp/0194061272,https://m.media-amazon.com/images/I/41I-kHZbEaL._SL1000_.jpg,amazon_books
9780194061704,Smart Choice: Starter: Multi-Pack: Student Book/Workbook Split Edition A,,OUP Oxford,Paquete,,"Teachers around the world tell us they love the Smart Choice ""one page = one lesson"" approach that allows for flexible and focused classes. Smart Choice Fourth Edition gives students more ways than ever to get involved, get motivated, and get speaking with new videos at the right level and dedicated speaking lessons to give students opportunities to speak in English.",Inglés,,8.27 x 0.18 x 11.69 pulgadas,13 Agosto 2020,https://www.amazon.com/-/es/Smart-Choice-Starter-Multi-Pack-Workbook/dp/0194061701,https://m.media-amazon.com/images/I/71MQR+uVzwL._SL1500_.jpg,amazon_books
9780194061728,Smart Choice: Starter Multi-Pack: Student Book/Workbook Split Edition B,,Oxford University Press,Paquete,,"Teachers around the world tell us they love the Smart Choice ""one page = one lesson"" approach that allows for flexible and focused classes. Smart Choice Fourth Edition gives students more ways than ever to get involved, get motivated, and get speaking with new videos at the right level and dedicated speaking lessons to give students opportunities to speak in English.",Inglés,,8.31 x 0.2 x 11.73 pulgadas,,https://www.amazon.com/-/es/Smart-Choice-Starter-Multi-Pack-Workbook/dp/0194061728,https://m.media-amazon.com/images/I/41I-kHZbEaL._SL1000_.jpg,amazon_books
9780194266758,Metro: Level 1: Student Book and Workbook with Online Practice (Metro),,,Paquete,,,Inglés,,8.31 x 0.28 x 11.73 pulgadas,,https://www.amazon.com/-/es/Metro-Student-Workbook-Online-Practice/dp/0194266753,https://m.media-amazon.com/images/I/61wcNvH0siL._SL1000_.jpg,amazon_books
